"id","category_id","type","title","doing","learn","skill","skill_note","teacher","teacher_qualification","bring","charge","cost","book","note","start","end","link"
5,62,"introduction","drawing","Don't know how to draw? No problem! Join this basic drawing/sketching lesson and get started!","Basic drawing skills",1,"Beginners welcome!","Stephanie Woodman","Stephanie is a self taught artist and full-time Art Tutor with 15 years’ experience teaching children and adults. She is Wellington based. She has also trained teachers in visual art education.<br><Br>Her own art has evolved over time as she has experimented and explored concepts within her selected medium, acrylics. She loves their diversity and glazing qualities. They lend her work a vibrant yet dreamlike quality: playful yet elegant, simultaneously surreal, quirky and whimsical. People who own Stephanie’s paintings say they slip quietly into these foreign yet strangely familiar landscapes, into the oceans of our shared imagination.<br><Br>In her tutoring she brings a unique capability to inspire and instruct, in the most down-to-earth, practical and accessible ways. She loves opening her students’ eyes to the visual world, and then empowering them with strong tools and techniques to explore and express what they see.<br><Br>Stephanie has had shows in Wellington, Auckland and the Kapiti Coast. She has also worked on various private commissions for individual collections in New Zealand and overseas. She paints at her home/studio on the Kapiti Coast.","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
6,0,"please select..","make up: glam","","",1,NULL,"nicole heydenrijk","Nicole started her career as make-up artists in special FX in the Netherlands around 20 years ago. Now nicole works with her daughters at BodyFX in wellington. She has a teacher's degree in Arts/Craft and is a specialFX make-up artist, a specialist in foam latex applications and production, trauma, theatre make-up, body art and facepainting. nicole is the winner of numerous national and international make-up and body painting awards.More about nicole: http://www.bodyfx.co.nz/about/nicole/nicole.htm","","please select..","","","","","",""
7,0,"please select..","how to re-enliven your wardrobe","","",1,NULL,"megan salole","","","please select..","","","","","",""
9,76,"introduction","how to write and edit children&#039;s books","Learn how to write and edit children's books from the Master!","",1,NULL,"Martin Baynton","Martin is well known for his children’s book Jane and the Dragon, which has since been adapted for television and produced by Weta Workshop. His books have been widely published in the UK, US, New Zealand and Australia, and he has illustrated books written by authors such as Russell Hoban and Kenneth Grahame.<br><br>In addition to writing and illustrating children's books, Baynton has been a Producer, writer and director for the stage and TV. In 2002 he teamed up with Richard Taylor of Weta Workshop to create and produce children's television. They created the award-winning Jane and the Dragon (based on Martin's book series of the same name), and more recently The WotWots (for pre-schoolers).","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
11,62,"introduction","jewelry: silversmith","Creating jewelry is a timeless artform.. Elizabeth will take you through the basics of silversmithing, showing you some of the skills needed to create stunning finished pieces of art, from riveting to casting.","- how to create a piece of silver jewelry, including soldering and forging silver",1,"Beginners are welcome!","Elizabeth Claridge","Elizabeth makes beautiful silver jewelry which you may have seen in AW! She will be hosting the event at a local workshop.","","please select..","","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","",""
12,62,"introduction","knitting animals","We will go over the basics for total beginners. Knit two squares, which will magically turn into a cat. I will also bring patterns for a pig and a donkey, for more adventurous people","Casting on, knitting, casting off",1,"Beginners are welcome","Silvia Zuur","Keen knitter - Silvia likes sharing the knitting joy, and learning more in the process","Knitting needles and wool - only if you have them. Needles can be borrowed and wool can be provided for a donation.","donation","donation for wool","","","","",""
13,62,"introduction","corsetry","Learn how to make a corset!<Br><br>You will be making a plastic-boned bodice as your test product. You will be able to make a full corset in the Next Step lesson.","Basics of corset-making",6,"","Gemma Crouch-Gatehouse","Corsetière Gemma is a Toi Whakaari (New Zealand School of Dance and Drama) costume design graduate, mentored by Kaarin Macaulay where she studied for two years learning period costuming and corsetry for theatre. She has been lauded for her costume <a href='http://www.stuff.co.nz/dominion-post/news/local-papers/the-wellingtonian/3714511/Kiwi-Space-Patrol-yet-to-lift-off'>designs</a> and won the Best Performance: Design at the NZ Fringe Festival in 2007.","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
14,62,"introduction","crochet: make a beanie/beret","Explore the world of crochet by making a beanie/beret!","Crocheting basics: single crochet, treble crochet, increasing in a circle, single chain...",1,"Beginners are welcome!","Gemma Crouch-Gatehouse","Gemma is a Toi Whakaari (New Zealand School of Dance and Drama) costume design graduate, mentored by Kaarin Macaulay where she studied for two years learning period costuming and corsetry for theatre. She has been lauded for her costume <a href='http://www.stuff.co.nz/dominion-post/news/local-papers/the-wellingtonian/3714511/Kiwi-Space-Patrol-yet-to-lift-off'>designs</a> and won the Best Performance: Design at the NZ Fringe Festival in 2007.","A crochet hook is supplied - which you get to keep.","please select..","$35","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
15,62,"introduction","learn to knit by making booties","Learn how to knit in a practical lesson with Gemma!","- correct knitting principles, such as stitches, casting on and off",1,"Beginners are welcome!","Gemma Crouch-Gatehouse","Gemma is a Toi Whakaari (New Zealand School of Dance and Drama) costume design graduate, mentored by Kaarin Macaulay where she studied for two years learning period costuming and corsetry for theatre. She has been lauded for her costume <a href='http://www.stuff.co.nz/dominion-post/news/local-papers/the-wellingtonian/3714511/Kiwi-Space-Patrol-yet-to-lift-off'>designs</a> and won the Best Performance: Design at the NZ Fringe Festival in 2007. She currently works for Wellington Sewing Services, where she increases her knowledge on knitting, quilting, and machines, learning lots from work mates (and fellow members) on the finer points of dress making, and even machine embroidery.","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
16,62,"introduction","painting","This is your chance to learn how to paint in a practical lesson, with artist Stephanie Woodman!","basics of painting<br>- brushes<Br>- techniques of applying paint<Br>- the step-by-step process of painting an artwork",1,"Beginners welcome!","Stephanie Woodman","Stephanie is a self taught artist and full-time Art Tutor with 15 years’ experience teaching children and adults. She is Wellington based. She has also trained teachers in visual art education.<br><Br>Her own art has evolved over time as she has experimented and explored concepts within her selected medium, acrylics. She loves their diversity and glazing qualities. They lend her work a vibrant yet dreamlike quality: playful yet elegant, simultaneously surreal, quirky and whimsical. People who own Stephanie’s paintings say they slip quietly into these foreign yet strangely familiar landscapes, into the oceans of our shared imagination.<br><Br>In her tutoring she brings a unique capability to inspire and instruct, in the most down-to-earth, practical and accessible ways. She loves opening her students’ eyes to the visual world, and then empowering them with strong tools and techniques to explore and express what they see.<br><Br>Stephanie has had shows in Wellington, Auckland and the Kapiti Coast. She has also worked on various private commissions for individual collections in New Zealand and overseas. She paints at her home/studio on the Kapiti Coast.","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
